userId,promoCode,applicableTo,modeOfPayment,timeOfOrder,deliveryLocation,usedRewardPoints
2,,,cash,14/1/2019 13:03,Ap #366-8424 Tempor Road,0
15,,,cash,14/1/2019 13:54,"21 Lower Kent Ridge Rd, Singapore 119077",0
20,,,cash,14/1/2019 15:56,"304-4116 Sem, Avenue",0
12,,,credit,14/1/2019 17:58,"21 Lower Kent Ridge Rd, Singapore 119077",0
6,,,credit,14/1/2019 20:41,7886 Etiam Av.,0
13,,,credit,14/1/2019 21:10,"Ap #840-1080 Ac, St.",0
15,,,credit,15/1/2019 10:58,"21 Lower Kent Ridge Rd, Singapore 119077",0
23,,,cash,15/1/2019 12:37,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,,,cash,15/1/2019 13:57,"P.O. Box 833, 5372 Amet, Rd.",0
13,,,cash,15/1/2019 14:52,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,,,cash,15/1/2019 15:17,"21 Lower Kent Ridge Rd, Singapore 119077",0
2,,,credit,15/1/2019 17:05,"P.O. Box 712, 4578 Vivamus Av.",0
5,,,cash,15/1/2019 17:45,339-7751 Lacinia St.,0
25,,,cash,15/1/2019 18:41,"P.O. Box 478, 6223 Amet Av.",0
18,,,credit,16/1/2019 10:15,"21 Lower Kent Ridge Rd, Singapore 119077",0
5,,,credit,16/1/2019 12:01,"21 Lower Kent Ridge Rd, Singapore 119077",0
2,,,credit,16/1/2019 14:52,506-3718 Pharetra Road,0
36,,,credit,16/1/2019 16:31,783-4226 Porttitor St.,0
18,,,credit,16/1/2019 16:57,106-1568 Est Ave,0
24,,,credit,16/1/2019 20:55,930-8599 Nulla Rd.,0
6,,,credit,16/1/2019 21:31,"21 Lower Kent Ridge Rd, Singapore 119077",0
22,,,credit,17/1/2019 11:08,"P.O. Box 318, 9700 Ac Av.",0
11,,,cash,17/1/2019 11:46,1922 Aliquam Street,0
20,,,cash,17/1/2019 15:14,3568 Mauris St.,0
14,,,credit,17/1/2019 16:06,465 Id Rd.,0
24,,,cash,17/1/2019 18:49,740-1045 A Av.,0
9,,,credit,17/1/2019 19:56,Ap #346-4100 Odio. Av.,0
17,,,cash,17/1/2019 20:25,"21 Lower Kent Ridge Rd, Singapore 119077",0
28,,,credit,17/1/2019 21:22,"21 Lower Kent Ridge Rd, Singapore 119077",0
40,,,credit,17/1/2019 21:29,"21 Lower Kent Ridge Rd, Singapore 119077",0
32,,,credit,17/1/2019 21:31,"P.O. Box 712, 4578 Vivamus Av.",0
25,,,cash,18/1/2019 11:18,"21 Lower Kent Ridge Rd, Singapore 119077",0
40,,,credit,18/1/2019 12:18,"21 Lower Kent Ridge Rd, Singapore 119077",0
9,,,credit,18/1/2019 12:24,Ap #312-8413 Proin St.,0
12,,,cash,18/1/2019 14:01,"21 Lower Kent Ridge Rd, Singapore 119077",0
31,,,cash,18/1/2019 14:04,Ap #865-5540 Ligula St.,5
10,,,cash,18/1/2019 16:08,"21 Lower Kent Ridge Rd, Singapore 119077",15
34,,,credit,18/1/2019 16:59,4892 Proin St.,0
25,,,credit,18/1/2019 17:04,4892 Proin St.,0
12,,,cash,18/1/2019 20:17,"864-7712 Sapien, Rd.",0
15,,,cash,18/1/2019 20:21,"21 Lower Kent Ridge Rd, Singapore 119077",0
16,,,credit,18/1/2019 20:24,Ap #346-4100 Odio. Av.,0
4,,,cash,18/1/2019 21:00,"21 Lower Kent Ridge Rd, Singapore 119077",5
1,,,credit,19/1/2019 12:09,"21 Lower Kent Ridge Rd, Singapore 119077",0
26,,,cash,19/1/2019 12:29,"21 Lower Kent Ridge Rd, Singapore 119077",10
1,,,credit,19/1/2019 14:35,"21 Lower Kent Ridge Rd, Singapore 119077",0
25,,,cash,19/1/2019 15:09,"21 Lower Kent Ridge Rd, Singapore 119077",5
10,,,cash,19/1/2019 18:12,823-6492 Dolor Avenue,0
38,,,credit,19/1/2019 18:25,506-3718 Pharetra Road,0
35,,,credit,19/1/2019 20:16,"21 Lower Kent Ridge Rd, Singapore 119077",0
7,,,cash,20/1/2019 13:24,"21 Lower Kent Ridge Rd, Singapore 119077",0
2,,,cash,20/1/2019 18:38,"21 Lower Kent Ridge Rd, Singapore 119077",0
14,,,credit,20/1/2019 18:41,"21 Lower Kent Ridge Rd, Singapore 119077",0
13,,,cash,20/1/2019 19:09,"21 Lower Kent Ridge Rd, Singapore 119077",5
26,,,cash,20/1/2019 20:39,"Ap #989-9346 At, Avenue",0
11,,,cash,20/1/2019 21:03,Ap #995-9429 Tellus St.,0
13,,,cash,21/1/2019 16:54,"21 Lower Kent Ridge Rd, Singapore 119077",0
9,,,cash,21/1/2019 18:20,"21 Lower Kent Ridge Rd, Singapore 119077",0
32,,,cash,21/1/2019 19:36,"21 Lower Kent Ridge Rd, Singapore 119077",0
23,,,cash,21/1/2019 19:44,"P.O. Box 343, 5146 Netus St.",0
39,,,cash,21/1/2019 20:23,643-6115 Tempus Road,0
35,,,credit,22/1/2019 11:49,"21 Lower Kent Ridge Rd, Singapore 119077",0
23,,,cash,22/1/2019 14:52,Ap #292-3748 Molestie Av.,0
32,,,cash,22/1/2019 17:14,"21 Lower Kent Ridge Rd, Singapore 119077",15
5,,,credit,23/1/2019 10:01,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,credit,23/1/2019 10:52,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,credit,23/1/2019 14:47,217-6764 Sit Rd.,0
6,,,credit,23/1/2019 14:54,"21 Lower Kent Ridge Rd, Singapore 119077",0
36,,,credit,23/1/2019 17:51,"21 Lower Kent Ridge Rd, Singapore 119077",0
2,,,cash,23/1/2019 20:05,2424 Eu Road,0
31,,,cash,23/1/2019 21:33,"864-7712 Sapien, Rd.",5
5,,,credit,24/1/2019 10:44,8626 Lorem Rd.,0
7,,,cash,24/1/2019 17:33,"9673 A, St.",0
26,,,cash,24/1/2019 20:18,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,,,credit,24/1/2019 21:53,"21 Lower Kent Ridge Rd, Singapore 119077",10
1,,,credit,25/1/2019 11:43,"21 Lower Kent Ridge Rd, Singapore 119077",0
33,,,cash,25/1/2019 12:22,"304-4116 Sem, Avenue",0
26,,,credit,25/1/2019 13:20,942-9696 Rhoncus. St.,0
28,,,cash,25/1/2019 14:07,"P.O. Box 343, 5146 Netus St.",0
18,,,cash,25/1/2019 15:09,"21 Lower Kent Ridge Rd, Singapore 119077",0
10,,,credit,25/1/2019 15:14,"21 Lower Kent Ridge Rd, Singapore 119077",0
15,,,credit,25/1/2019 18:13,"21 Lower Kent Ridge Rd, Singapore 119077",10
4,,,cash,25/1/2019 18:43,8225 Risus. Road,0
15,,,credit,25/1/2019 18:50,"P.O. Box 393, 8831 Urna Ave",0
17,,,credit,25/1/2019 19:12,413-6677 In Road,0
23,,,cash,26/1/2019 10:04,"21 Lower Kent Ridge Rd, Singapore 119077",0
39,,,credit,26/1/2019 11:45,"21 Lower Kent Ridge Rd, Singapore 119077",0
15,,,cash,26/1/2019 17:37,402-7613 Non Street,0
12,,,credit,26/1/2019 19:11,"21 Lower Kent Ridge Rd, Singapore 119077",10
19,,,credit,26/1/2019 20:09,"21 Lower Kent Ridge Rd, Singapore 119077",0
3,,,cash,26/1/2019 21:37,"21 Lower Kent Ridge Rd, Singapore 119077",0
40,,,cash,27/1/2019 12:33,"21 Lower Kent Ridge Rd, Singapore 119077",10
20,,,cash,27/1/2019 13:06,"21 Lower Kent Ridge Rd, Singapore 119077",0
25,,,cash,27/1/2019 13:35,Ap #292-3748 Molestie Av.,0
9,,,cash,27/1/2019 13:46,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,,,credit,27/1/2019 14:32,861-5731 Gravida Av.,10
15,,,credit,27/1/2019 14:38,9093 Eu Street,0
27,,,cash,27/1/2019 15:26,"21 Lower Kent Ridge Rd, Singapore 119077",15
17,,,cash,27/1/2019 16:55,8252 Mauris Ave,10
40,,,cash,27/1/2019 18:02,"21 Lower Kent Ridge Rd, Singapore 119077",5
32,,,credit,27/1/2019 21:03,"P.O. Box 318, 9700 Ac Av.",0
25,,,cash,27/1/2019 21:14,"21 Lower Kent Ridge Rd, Singapore 119077",5
29,,,credit,28/1/2019 10:08,6060 Suspendisse Rd.,0
35,,,credit,28/1/2019 11:09,217-6764 Sit Rd.,0
24,,,cash,28/1/2019 11:28,"Ap #394-3000 Dui, Road",0
13,,,credit,28/1/2019 15:13,Ap #865-5540 Ligula St.,10
12,,,cash,28/1/2019 17:17,"21 Lower Kent Ridge Rd, Singapore 119077",0
37,,,credit,28/1/2019 17:25,"5961 A, Street",0
3,,,cash,28/1/2019 17:29,"21 Lower Kent Ridge Rd, Singapore 119077",15
3,,,cash,28/1/2019 17:37,465 Id Rd.,5
12,,,credit,28/1/2019 18:23,"21 Lower Kent Ridge Rd, Singapore 119077",0
33,,,cash,28/1/2019 20:13,"21 Lower Kent Ridge Rd, Singapore 119077",0
15,,,cash,28/1/2019 21:28,"21 Lower Kent Ridge Rd, Singapore 119077",0
4,,,cash,29/1/2019 15:11,1922 Aliquam Street,15
13,,,credit,29/1/2019 17:18,Ap #811-9386 Sed Ave,5
22,,,credit,29/1/2019 18:09,Ap #274-4967 Nascetur Av.,0
39,,,cash,29/1/2019 19:28,"21 Lower Kent Ridge Rd, Singapore 119077",0
3,,,cash,29/1/2019 21:21,"P.O. Box 286, 5259 Sollicitudin Av.",0
16,,,cash,30/1/2019 11:46,"21 Lower Kent Ridge Rd, Singapore 119077",10
18,,,cash,30/1/2019 12:23,Ap #680-1342 At Street,10
25,,,credit,30/1/2019 14:18,"21 Lower Kent Ridge Rd, Singapore 119077",10
4,,,credit,30/1/2019 15:13,"21 Lower Kent Ridge Rd, Singapore 119077",15
38,,,credit,30/1/2019 18:29,"21 Lower Kent Ridge Rd, Singapore 119077",15
5,,,cash,30/1/2019 18:30,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,credit,31/1/2019 11:44,"21 Lower Kent Ridge Rd, Singapore 119077",5
1,,,credit,31/1/2019 12:28,"P.O. Box 712, 2846 Nascetur Ave",0
4,,,credit,31/1/2019 14:40,"5961 A, Street",0
34,,,credit,31/1/2019 18:02,"21 Lower Kent Ridge Rd, Singapore 119077",15
35,,,cash,31/1/2019 19:40,823-6492 Dolor Avenue,0
32,,,credit,31/1/2019 21:37,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,cash,1/2/2019 10:08,823-6492 Dolor Avenue,0
18,,,cash,1/2/2019 10:11,"21 Lower Kent Ridge Rd, Singapore 119077",15
39,,,cash,1/2/2019 10:18,823-6492 Dolor Avenue,5
3,,,cash,1/2/2019 10:30,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,,,cash,1/2/2019 10:39,"21 Lower Kent Ridge Rd, Singapore 119077",10
3,,,cash,1/2/2019 11:13,"21 Lower Kent Ridge Rd, Singapore 119077",10
38,,,cash,1/2/2019 11:40,"5961 A, Street",10
34,,,cash,1/2/2019 12:38,"21 Lower Kent Ridge Rd, Singapore 119077",15
3,,,cash,1/2/2019 12:44,"21 Lower Kent Ridge Rd, Singapore 119077",10
33,,,cash,1/2/2019 12:47,"21 Lower Kent Ridge Rd, Singapore 119077",10
32,,,cash,1/2/2019 13:20,"21 Lower Kent Ridge Rd, Singapore 119077",0
22,,,cash,1/2/2019 13:22,"21 Lower Kent Ridge Rd, Singapore 119077",0
33,,,cash,1/2/2019 13:39,"P.O. Box 712, 2846 Nascetur Ave",15
35,,,cash,1/2/2019 14:02,"21 Lower Kent Ridge Rd, Singapore 119077",15
12,,,cash,1/2/2019 14:55,"5961 A, Street",10
4,,,cash,1/2/2019 15:03,"21 Lower Kent Ridge Rd, Singapore 119077",0
4,,,cash,1/2/2019 15:44,"21 Lower Kent Ridge Rd, Singapore 119077",0
18,,,cash,1/2/2019 15:52,"21 Lower Kent Ridge Rd, Singapore 119077",15
3,,,cash,1/2/2019 16:06,"21 Lower Kent Ridge Rd, Singapore 119077",5
25,,,cash,1/2/2019 16:11,"21 Lower Kent Ridge Rd, Singapore 119077",15
15,,,cash,1/2/2019 17:59,"5961 A, Street",0
4,,,cash,1/2/2019 19:00,"21 Lower Kent Ridge Rd, Singapore 119077",0
39,,,cash,1/2/2019 19:14,"21 Lower Kent Ridge Rd, Singapore 119077",10
12,,,cash,1/2/2019 19:41,"21 Lower Kent Ridge Rd, Singapore 119077",10
32,,,cash,1/2/2019 19:51,"21 Lower Kent Ridge Rd, Singapore 119077",0
22,,,cash,1/2/2019 20:23,"21 Lower Kent Ridge Rd, Singapore 119077",0
34,,,cash,2/2/2019 10:34,"21 Lower Kent Ridge Rd, Singapore 119077",0
4,,,cash,2/2/2019 20:14,"P.O. Box 712, 2846 Nascetur Ave",0
16,,,cash,3/2/2019 10:59,"21 Lower Kent Ridge Rd, Singapore 119077",10
5,,,cash,3/2/2019 11:16,"P.O. Box 712, 2846 Nascetur Ave",0
38,,,cash,3/2/2019 11:22,"5961 A, Street",5
3,,,cash,3/2/2019 12:26,"21 Lower Kent Ridge Rd, Singapore 119077",0
4,,,cash,3/2/2019 12:30,"P.O. Box 712, 2846 Nascetur Ave",15
3,,,cash,3/2/2019 12:32,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,cash,3/2/2019 13:15,"21 Lower Kent Ridge Rd, Singapore 119077",0
12,,,cash,3/2/2019 13:21,"21 Lower Kent Ridge Rd, Singapore 119077",0
25,,,cash,3/2/2019 13:22,"21 Lower Kent Ridge Rd, Singapore 119077",0
16,,,cash,3/2/2019 14:35,"21 Lower Kent Ridge Rd, Singapore 119077",0
3,,,cash,3/2/2019 15:08,"P.O. Box 712, 2846 Nascetur Ave",10
4,,,cash,3/2/2019 15:16,823-6492 Dolor Avenue,10
5,,,cash,3/2/2019 15:32,"21 Lower Kent Ridge Rd, Singapore 119077",0
15,,,cash,3/2/2019 15:57,823-6492 Dolor Avenue,15
13,,,cash,3/2/2019 16:31,"21 Lower Kent Ridge Rd, Singapore 119077",5
4,,,cash,3/2/2019 18:24,"21 Lower Kent Ridge Rd, Singapore 119077",0
13,,,cash,3/2/2019 19:28,823-6492 Dolor Avenue,0
13,,,cash,3/2/2019 20:11,"5961 A, Street",15
35,,,cash,3/2/2019 20:12,"21 Lower Kent Ridge Rd, Singapore 119077",0
15,,,cash,3/2/2019 20:21,"21 Lower Kent Ridge Rd, Singapore 119077",10
1,,,cash,3/2/2019 20:26,"21 Lower Kent Ridge Rd, Singapore 119077",15
33,,,cash,3/2/2019 20:58,"21 Lower Kent Ridge Rd, Singapore 119077",15
3,,,cash,3/2/2019 21:29,"21 Lower Kent Ridge Rd, Singapore 119077",0
23,,,cash,4/2/2019 10:10,"21 Lower Kent Ridge Rd, Singapore 119077",0
26,,,cash,4/2/2019 11:05,"21 Lower Kent Ridge Rd, Singapore 119077",0
14,,,cash,4/2/2019 11:34,"21 Lower Kent Ridge Rd, Singapore 119077",15
39,,,cash,4/2/2019 12:11,"21 Lower Kent Ridge Rd, Singapore 119077",0
16,,,cash,4/2/2019 13:00,"21 Lower Kent Ridge Rd, Singapore 119077",0
22,,,cash,4/2/2019 15:56,"21 Lower Kent Ridge Rd, Singapore 119077",0
31,,,cash,4/2/2019 16:58,"21 Lower Kent Ridge Rd, Singapore 119077",5
24,,,cash,4/2/2019 17:24,"21 Lower Kent Ridge Rd, Singapore 119077",0
12,,,cash,4/2/2019 18:56,"21 Lower Kent Ridge Rd, Singapore 119077",0
3,,,cash,4/2/2019 21:17,"21 Lower Kent Ridge Rd, Singapore 119077",15
10,,,cash,5/2/2019 10:10,"P.O. Box 712, 2846 Nascetur Ave",15
25,,,cash,5/2/2019 10:37,"21 Lower Kent Ridge Rd, Singapore 119077",15
35,,,cash,5/2/2019 11:27,"21 Lower Kent Ridge Rd, Singapore 119077",10
32,,,cash,5/2/2019 13:01,"21 Lower Kent Ridge Rd, Singapore 119077",0
25,,,cash,5/2/2019 13:27,"5961 A, Street",10
11,,,cash,5/2/2019 14:10,823-6492 Dolor Avenue,0
34,,,cash,5/2/2019 15:04,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,cash,5/2/2019 15:30,"21 Lower Kent Ridge Rd, Singapore 119077",10
26,,,cash,5/2/2019 15:53,"21 Lower Kent Ridge Rd, Singapore 119077",10
39,,,cash,5/2/2019 17:12,"21 Lower Kent Ridge Rd, Singapore 119077",0
38,,,cash,5/2/2019 17:23,"21 Lower Kent Ridge Rd, Singapore 119077",10
38,,,cash,5/2/2019 18:19,"21 Lower Kent Ridge Rd, Singapore 119077",0
6,,,cash,5/2/2019 19:43,"P.O. Box 712, 2846 Nascetur Ave",0
18,,,cash,5/2/2019 20:15,"P.O. Box 712, 2846 Nascetur Ave",0
14,,,cash,5/2/2019 20:16,"P.O. Box 712, 2846 Nascetur Ave",0
38,,,cash,5/2/2019 20:55,823-6492 Dolor Avenue,15
1,,,cash,5/2/2019 20:59,"21 Lower Kent Ridge Rd, Singapore 119077",10
11,,,cash,5/2/2019 21:02,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,,,cash,5/2/2019 21:06,823-6492 Dolor Avenue,10
7,,,cash,6/2/2019 10:15,"21 Lower Kent Ridge Rd, Singapore 119077",15
32,,,cash,6/2/2019 11:09,"5961 A, Street",10
40,,,cash,6/2/2019 14:50,"21 Lower Kent Ridge Rd, Singapore 119077",10
12,,,cash,6/2/2019 15:34,"21 Lower Kent Ridge Rd, Singapore 119077",0
36,,,cash,6/2/2019 16:54,"21 Lower Kent Ridge Rd, Singapore 119077",0
4,,,cash,6/2/2019 18:34,"21 Lower Kent Ridge Rd, Singapore 119077",0
25,,,cash,7/2/2019 11:59,"5961 A, Street",0
9,,,cash,7/2/2019 13:17,"21 Lower Kent Ridge Rd, Singapore 119077",0
23,,,cash,7/2/2019 14:47,"P.O. Box 712, 2846 Nascetur Ave",10
24,,,cash,7/2/2019 17:23,"21 Lower Kent Ridge Rd, Singapore 119077",15
28,,,cash,7/2/2019 18:54,"21 Lower Kent Ridge Rd, Singapore 119077",0
6,,,cash,7/2/2019 19:34,"21 Lower Kent Ridge Rd, Singapore 119077",5
4,,,cash,7/2/2019 19:43,"21 Lower Kent Ridge Rd, Singapore 119077",0
36,,,cash,7/2/2019 20:06,"21 Lower Kent Ridge Rd, Singapore 119077",10
4,,,cash,8/2/2019 14:41,"P.O. Box 712, 2846 Nascetur Ave",15
17,,,cash,8/2/2019 18:59,"21 Lower Kent Ridge Rd, Singapore 119077",0
2,,,cash,9/2/2019 13:20,"21 Lower Kent Ridge Rd, Singapore 119077",0
